Id,Rainfall,Temperature,Humidity,Water,Day,Mean,Date
2,847,30,22,969,1,805,25-Jan-06
3,1232,19,18,614,2,800,26-Jan-06
4,737,33,19,990,3,807,27-Jan-06
5,582,33,16,918,4,793,28-Jan-06
6,761,34,16,937,5,798,29-Jan-06
7,1302,20,11,797,6,794,30-Jan-06
8,1445,21,20,686,7,797,31-Jan-06
9,1243,20,24,495,1,808,01-Feb-06
10,735,25,12,945,2,808,02-Feb-06
11,1478,20,12,538,3,795,03-Feb-06
12,724,25,25,903,4,803,04-Feb-06
13,771,25,11,1010,5,792,05-Feb-06
14,1139,23,12,754,6,810,06-Feb-06
15,703,31,24,1134,7,805,07-Feb-06
16,948,34,15,1005,1,798,08-Feb-06
17,1470,19,12,550,2,797,09-Feb-06
18,1133,23,17,593,3,796,10-Feb-06
19,635,26,13,958,4,803,11-Feb-06
20,1028,21,10,546,5,797,12-Feb-06
21,1380,22,15,695,6,798,13-Feb-06
22,512,33,24,1045,7,791,14-Feb-06
23,832,30,25,952,1,792,15-Feb-06
24,1265,20,21,488,2,803,16-Feb-06
25,1310,20,11,608,3,798,17-Feb-06
26,1278,21,22,556,4,799,18-Feb-06
27,1139,22,10,582,5,799,19-Feb-06
28,1294,19,12,693,6,806,20-Feb-06
29,978,29,25,1105,7,807,21-Feb-06
30,530,32,19,968,1,803,22-Feb-06
31,1312,19,13,589,2,796,23-Feb-06
32,1174,22,19,607,3,797,24-Feb-06
33,596,33,18,996,4,792,25-Feb-06
34,970,34,21,884,5,809,26-Feb-06
35,875,32,12,1070,6,793,27-Feb-06
36,1347,23,10,722,7,790,28-Feb-06
37,760,28,21,906,1,796,01-Mar-06
38,1132,22,22,499,2,808,02-Mar-06
39,1037,20,21,528,3,809,03-Mar-06
40,751,32,10,939,4,790,04-Mar-06
41,1207,23,24,525,5,810,05-Mar-06
42,1094,19,19,786,6,791,06-Mar-06
43,1149,23,14,747,7,792,07-Mar-06
44,1498,19,13,551,1,803,08-Mar-06
45,1231,21,11,579,2,808,09-Mar-06
46,579,29,18,1010,3,807,10-Mar-06
47,760,28,15,961,4,799,11-Mar-06
48,533,32,24,912,5,806,12-Mar-06
49,1267,23,23,678,6,800,13-Mar-06
50,1063,21,18,698,7,798,14-Mar-06
51,742,26,19,1008,1,804,15-Mar-06
52,901,30,16,939,2,809,16-Mar-06
53,1195,20,19,535,3,802,17-Mar-06
54,692,25,13,1011,4,804,18-Mar-06
55,1129,23,22,563,5,808,19-Mar-06
56,1287,19,22,685,6,791,20-Mar-06
57,780,32,24,1057,7,805,21-Mar-06
58,1005,23,17,546,1,807,22-Mar-06
59,936,33,18,995,2,790,23-Mar-06
60,1270,23,11,515,3,799,24-Mar-06
61,1428,19,13,574,4,790,25-Mar-06
62,1309,21,20,562,5,794,26-Mar-06
63,1103,20,25,676,6,802,27-Mar-06
64,889,30,16,1108,7,800,28-Mar-06
65,571,28,22,930,2,797,29-Mar-06
66,624,26,21,920,3,803,30-Mar-06
67,715,27,25,966,4,790,31-Mar-06
68,780,27,20,879,5,799,01-Apr-06
69,609,33,13,1098,6,803,02-Apr-06
70,618,31,24,1140,7,792,03-Apr-06
71,1013,19,20,551,1,797,04-Apr-06
72,928,31,24,892,2,790,05-Apr-06
73,824,34,16,926,3,808,06-Apr-06
74,1418,20,23,477,4,793,07-Apr-06
75,1179,22,13,525,5,794,08-Apr-06
76,562,34,22,1033,6,805,09-Apr-06
77,1141,20,10,779,7,807,10-Apr-06
78,1343,20,10,597,1,795,11-Apr-06
79,1485,20,21,568,2,797,12-Apr-06
